Date,BAC,CI,CL,COST,CVX,GS,HD,JPM,KO,LOW,MA,MCD,MS,PEP,PG,UNH,V,WMT,XOM,YUM
2022-06-08,32.41286849975586,242.3343048095703,70.32624053955078,445.61590576171875,152.7633819580078,285.0063781738281,268.4254455566406,115.15705108642578,55.49794006347656,176.60891723632812,353.166259765625,223.8444366455078,72.55957794189453,145.33993530273438,129.82638549804688,456.489990234375,206.65394592285156,38.73832321166992,90.86182403564453,111.63876342773438
2022-06-09,31.166568756103516,239.3606414794922,69.40505981445312,449.48175048828125,149.71876525878906,275.5328063964844,270.52752685546875,112.7369384765625,54.53605651855469,178.28831481933594,340.17340087890625,220.70021057128906,70.78047180175781,142.7529296875,127.48233032226562,452.69769287109375,199.5009307861328,38.332881927490234,88.89847564697266,108.68356323242188
2022-06-10,29.95639419555664,235.37408447265625,69.20637512207031,441.1595764160156,147.93080139160156,259.9546813964844,260.9463806152344,107.55488586425781,54.19190216064453,170.99266052246094,326.28375244140625,216.34375,67.50135040283203,142.52490234375,126.99919128417969,448.2579650878906,193.112548828125,38.54827880859375,87.27391052246094,105.98779296875
2022-06-13,28.917808532714844,225.0963897705078,68.80899810791016,430.6284484863281,141.1246337890625,256.6036071777344,255.46112060546875,104.3520736694336,54.130126953125,166.3400115966797,311.6534423828125,217.33717346191406,65.56526947021484,140.0869140625,123.59941864013672,434.448486328125,186.0950469970703,37.82291793823242,83.2690200805664,102.91218566894531
2022-06-14,28.412059783935547,228.33026123046875,67.07500457763672,433.0564880371094,141.3101348876953,255.8971405029297,251.4103546142578,102.61573028564453,52.64576721191406,163.29327392578125,313.9927978515625,217.6014862060547,65.37340545654297,136.91229248046875,119.74335479736328,427.0951232910156,187.3146514892578,37.83875274658203,83.4861831665039,102.1155014038086
2022-06-15,28.94489860534668,229.62196350097656,66.97566223144531,436.8558044433594,138.53536987304688,262.71710205078125,252.3666534423828,103.83028411865234,53.03685760498047,164.27517700195312,317.1604919433594,217.72906494140625,66.29783630371094,138.37681579589844,118.55347442626953,429.48150634765625,189.86996459960938,37.81340789794922,82.43502044677734,103.66255950927734
2022-06-16,28.764278411865234,230.73703002929688,66.75891876220703,430.1618347167969,131.13043212890625,258.1070556640625,246.7100067138672,102.04893493652344,52.50355529785156,157.48434448242188,300.97064208984375,214.3478240966797,64.49256896972656,137.71035766601562,119.27816772460938,423.36431884765625,182.9879913330078,38.2061882019043,79.39440155029297,101.10572814941406
2022-06-17,28.827495574951172,227.22442626953125,66.8672866821289,425.3341979980469,125.1423568725586,253.40647888183594,244.24700927734375,101.68907165527344,52.82353210449219,158.27352905273438,302.8323669433594,213.60964965820312,63.57685852050781,137.7366485595703,118.41925811767578,419.6235046386719,183.9171905517578,37.468162536621094,74.81613159179688,101.4392318725586
2022-06-21,29.667394638061523,234.3426055908203,69.0528335571289,440.96917724609375,130.37977600097656,257.9530944824219,242.86669921875,104.2081298828125,53.952362060546875,158.19090270996094,309.37261962890625,218.35791015625,65.0855941772461,140.93756103515625,122.00690460205078,445.8558044433594,188.15673828125,38.6971321105957,79.47261810302734,103.35685729980469
2022-06-22,29.44161605834961,237.7994842529297,70.36238098144531,437.9698486328125,124.71221160888672,257.70855712890625,242.668212890625,103.62334442138672,54.35232925415039,159.31053161621094,308.1542053222656,221.52041625976562,64.88501739501953,142.09518432617188,123.91255950927734,454.5441589355469,187.60504150390625,38.22835159301758,76.3277587890625,103.25494384765625
2022-06-23,28.971994400024414,241.31210327148438,71.2384033203125,452.2907409667969,120.1241683959961,259.1849060058594,248.47824096679688,102.48977661132812,55.00118637084961,161.8157958984375,308.7488098144531,221.99436950683594,64.50999450683594,143.91046142578125,127.31234741210938,463.9472961425781,190.3345947265625,39.15642547607422,74.02558898925781,104.06089782714844
2022-06-24,29.179712295532227,246.3766632080078,72.59307861328125,461.2127990722656,122.09773254394531,274.2013854980469,255.31680297851562,105.54862213134766,56.03224182128906,167.78994750976562,322.14129638671875,225.93150329589844,67.86763763427734,145.6907501220703,129.14642333984375,460.0765686035156,198.92019653320312,39.18810272216797,75.49376678466797,105.99703979492188
2022-06-27,29.21583366394043,248.93214416503906,72.14151763916016,458.718017578125,124.45922088623047,272.4171142578125,255.03712463378906,104.70293426513672,55.916690826416016,169.05636596679688,320.51348876953125,225.13861083984375,67.5362319946289,145.8836669921875,128.16229248046875,469.3775939941406,197.03273010253906,39.3148078918457,77.34418487548828,107.6830825805664
2022-06-28,29.13455581665039,247.38021850585938,71.2384033203125,446.20623779296875,126.45806121826172,271.2488098144531,243.7238006591797,104.19914245605469,55.356712341308594,160.33834838867188,310.2401428222656,221.31082153320312,68.16414642333984,143.83155822753906,126.07770538330078,471.9580993652344,191.76715087890625,38.7604866027832,79.48998260498047,105.12626647949219
2022-06-29,28.7733097076416,248.43032836914062,71.95187377929688,447.37750244140625,123.96160888671875,274.681396484375,247.0799102783203,103.73131561279297,55.75669860839844,161.60475158691406,314.431396484375,225.7857208251953,68.1903305053711,146.21693420410156,127.22288513183594,478.7064514160156,193.1029052734375,38.61795425415039,76.55363464355469,105.45047760009766
2022-06-30,28.114032745361328,244.8804931640625,72.3763427734375,456.3661193847656,122.10614776611328,269.01171875,247.4407196044922,101.31121063232422,55.916690826416016,160.29241943359375,307.50115966796875,225.00189208984375,66.33271026611328,146.15553283691406,128.6453857421875,476.77569580078125,190.57659912109375,38.51026916503906,74.39913177490234,105.15404510498047
2022-07-01,28.502368927001953,249.0714874267578,74.029052734375,462.5363464355469,123.56522369384766,271.0133056640625,251.7802276611328,102.60671997070312,57.22327423095703,162.7610321044922,310.1913757324219,230.54312133789062,66.93448638916016,148.54966735839844,130.72108459472656,480.2751770019531,192.79318237304688,38.84285354614258,76.05843353271484,108.11847686767578
2022-07-05,28.213376998901367,246.10711669921875,73.15303802490234,464.91680908203125,120.31818389892578,269.17474365234375,255.97540283203125,102.2164535522461,56.245548248291016,165.0736083984375,311.185546875,229.93246459960938,66.37633514404297,148.21640014648438,129.4595489501953,468.98773193359375,194.1095428466797,39.355987548828125,73.67808532714844,108.69283294677734
2022-07-06,27.97856330871582,251.91510009765625,73.17108917236328,469.09686279296875,118.73257446289062,266.0591125488281,255.84002685546875,101.55389404296875,56.361106872558594,164.3210906982422,312.0726013183594,229.17604064941406,65.80072784423828,149.69850158691406,130.6673583984375,478.31658935546875,194.67092895507812,39.63471221923828,72.34890747070312,108.2296371459961
2022-07-07,28.7733097076416,256.2733459472656,71.76221466064453,471.2868957519531,121.04347229003906,270.4427185058594,258.64581298828125,104.12247467041016,55.916690826416016,166.62448120117188,316.35809326171875,230.52488708496094,67.1437759399414,149.40036010742188,130.62265014648438,477.4718933105469,196.29710388183594,39.694908142089844,74.65978240966797,109.07264709472656
